SHAPE_AREA,US_ACT2021,DES_US2021,DES_ES2021,UNION,NOMBRE_PARQUE,DIRECCION,SECTOR,CATEGORIA,UBICACION,ACCESO,TIPOLOGIA
519.991976945,EA,ESPACIO ABIERTO,PARQUE,"326",,,,,,,
314.552051016,EA,ESPACIO ABIERTO,CAMELLON,"327",,,,,,,
76.4436079262,EA,ESPACIO ABIERTO,CAMELLON,"328",,,,,,,
293.252738268,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"329",,,,,,,
57.2546464835,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"330",,,,,,,
148.623804142,EA,ESPACIO ABIERTO,CAMELLON,"331",,,,,,,
48.2382459428,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"332",,,,,,,
53.5917680842,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"333",,,,,,,
100.120160893,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"334",,,,,,,
28.4350243628,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"335",,,,,,,
30.7248834342,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"336",,,,,,,
